datetime; t(in s);RD_HC_1(Y1);RD_HC_2(Y1);RD_HC_3(Y1);RD_TC_1(Y1);RD_TC_2(Y1);RD_TC_3(Y1);RD_PC_1(Y1);RD_PC_2(Y1);RD_PC_3(Y1)
"14:00:00 30-06-2011"; 7200; -1.401; -1.438; -4.412; -1.297; -1.323; -4.854; -0.739; -1.643; -5.144
"14:00:00 01-07-2011"; 93600; -1.306; -1.444; -4.351; -1.300; -1.329; -4.841; -0.668; -1.650; -5.082
"14:00:00 02-07-2011"; 180000; -1.182; -1.432; -4.284; -1.296; -1.316; -4.789; -0.682; -1.643; -5.026
"14:00:00 03-07-2011"; 266400; -1.167; -1.429; -4.272; -1.295; -1.309; -4.776; -0.669; -1.642; -5.013
"14:00:00 04-07-2011"; 352800; -1.175; -1.429; -4.277; -1.298; -1.310; -4.779; -0.724; -1.643; -5.017
"14:00:00 05-07-2011"; 439200; -1.180; -1.419; -4.231; -1.287; -1.297; -4.721; -0.666; -1.635; -4.960
"14:00:00 06-07-2011"; 525600; -1.147; -1.401; -4.187; -1.221; -1.277; -4.661; -0.707; -1.622; -4.904
"14:00:00 07-07-2011"; 612000; -1.150; -1.405; -4.236; -1.179; -1.281; -4.649; -0.710; -1.627; -4.889
"14:00:00 08-07-2011"; 698400; -1.124; -1.408; -4.331; -1.142; -1.287; -4.652; -0.727; -1.633; -4.899
"14:00:00 09-07-2011"; 784800; -1.128; -1.420; -4.482; -1.136; -1.303; -4.720; -0.781; -1.648; -4.993
"14:00:00 10-07-2011"; 871200; -1.169; -1.441; -4.611; -1.147; -1.328; -4.704; -0.848; -1.668; -5.026
"14:00:00 11-07-2011"; 957600; -1.184; -1.449; -4.649; -1.135; -1.336; -4.734; -0.876; -1.675; -5.036
"14:00:00 12-07-2011"; 1044000; -1.146; -1.439; -4.618; -1.077; -1.322; -4.701; -0.849; -1.667; -4.983
"14:00:00 13-07-2011"; 1130400; -1.124; -1.413; -4.604; -1.023; -1.294; -4.687; -0.840; -1.646; -4.981
"14:00:00 14-07-2011"; 1216800; -1.085; -1.393; -4.579; -0.954; -1.272; -4.657; -0.810; -1.634; -4.959
"14:00:00 15-07-2011"; 1303200; -1.182; -1.394; -4.672; -1.036; -1.285; -4.703; -0.932; -1.643; -5.057
"14:00:00 16-07-2011"; 1389600; -1.085; -1.376; -4.580; -0.916; -1.256; -4.536; -0.840; -1.625; -4.960
"14:00:00 17-07-2011"; 1476000; -1.022; -1.358; -4.518; -0.836; -1.235; -4.491; -0.800; -1.612; -4.899
"14:00:00 18-07-2011"; 1562400; -1.041; -1.359; -4.526; -0.868; -1.240; -4.546; -0.867; -1.606; -4.900
"14:00:00 19-07-2011"; 1648800; -1.105; -1.371; -4.561; -0.946; -1.257; -4.630; -0.973; -1.615; -4.927
"14:00:00 20-07-2011"; 1735200; -1.152; -1.394; -4.567; -1.002; -1.281; -4.677; -1.048; -1.634; -4.915
"14:00:00 21-07-2011"; 1821600; -1.181; -1.404; -4.527; -1.030; -1.289; -4.638; -1.089; -1.641; -4.865
"14:00:00 22-07-2011"; 1908000; -1.209; -1.411; -4.513; -1.047; -1.296; -4.621; -1.131; -1.646; -4.844
